"HH_CODE_OLD","HH_CODE","b002","oblast","region","priz","hsize","child14","child5","Nempl","hhhsex","hhhage","hheduc","hhhst","hhhempl","hhhwt1","hhhwt2","xf1","xf2","xf3","xf4","xf5","xf6","xf7","xf8","xf9","xf10","xf11","xf12","xf13","xf14","xf15","xnf1","xnf2","xnf3","xnf4","xnf5","xnf6","xnf7","xnf8","xnf9","xnf10","xnf11","xnf12","xnf13","xnf14","xnf15","xnf16","xnf17","xnf18","xnf19","xh1","xh2","xh3","xe1","xe3","xe31","xe6","xe7","xe8","xe9","xe10","xe11","xu1","xu2","xu3","xu4","xu5","xu6","xu9","xu10","xu11","xu13","xa1","xa2","xa3","xa4","xa5","xa6","xa7","xeout","xtax","xother","xalim","xbuild","xhelp","xserv","cdur","y1","y2","y3","y41","y42","y43","y44","y45","y46","y5","y6","y7","y8","y9","y10","y11","y12","y13","toty","xf","xnf","xh","xe","xu","xa","cf","cnf","cserv","totx","totc","pcc","pccx","pccf","decilc","quintilc","quartilc","decilx","quintilx","quartilx","one","pline_dc","f_linec","pindex","one2","meanpi","cpi","pccddc","cpsc","fpsc","pgc","p2c","fpgc","fp2c"
20002,822940603,1,41702,1,2,2,0,0,0,2,66,5,4,0,0,0,10237.0949533695,6412.73306746104,10689.28548,0,1824.99996,912.49998,2451.6980594717,3340.27351383931,2560.40937902024,2580.92816313728,343.120058456583,369.880073640234,1827.87784358517,0,449.302553700617,0,3535,2720,1134,0,0,0,0,270,0,6000,0,0,2005,1045,568,408,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6369,0,2059,0,560,100,421,1970,2000,0,0,0,0,0,0,0,0,2044,0,0,0,4500,3269,736.30283188553,27454,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,640,60094,44000.1030856816,17695,0,0,13479,0,44000.1030856816,11425,16748,79453.4059175672,72909.4059175672,36454.7029587836,39726.7029587836,22000.0515428408,9,5,4,9,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,101.894071674899,0,0,0,0,0,0
20006,573714424,1,41702,1,2,1,0,0,0,2,80,5,4,0,0,0,3356.95689265914,3013.9942948421,7014.67870090993,1433.92854,1295.79715694606,1033.53653669056,1375.99203333333,4344.404776732,3636.964206,1501.27298037767,347.1845162,945.089265,738.930696834004,0,0,224,1775,220,58,0,0,0,0,35,0,0,0,0,0,575,495,178,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,0,210,80,508,1740,750,0,0,0,0,0,0,0,0,0,0,0,0,1000,4330,571.617793393188,0,30260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,30900,30038.7305965248,3577,0,0,6368,0,30038.7305965248,3542,10698,45850.348389918,44850.348389918,44850.348389918,45850.348389918,30038.7305965248,9,5,4,9,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,125.63326762848,0,0,0,0,0,0
20009,562468984,1,41702,1,2,1,0,0,1,2,45,1,1,1,1,2,3786.28706946066,8565.07759474778,14861.7323751563,1337.4642564,1660.08146544615,2211.5903533125,1571.88823315837,2850.55369331313,3939.5643827973,6529.58477642761,413.109230266796,0,865.105933356698,0,0,0,9890,2250,35,0,4600,0,0,4330,0,9000,400,3900,450,1362,4180,555,1555,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,342,178,470,3780,2740,0,0,0,0,0,0,0,0,7377.5,0,0,0,16200,10713,1027.39858082589,89718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,90358,48592.0393638433,42507,129,0,11109,0,48592.0393638433,20677,21951,115824.937944669,92247.4379446691,92247.4379446691,115824.937944669,48592.0393638433,10,5,4,10,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,257.190293959747,0,0,0,0,0,0
20012,112937037,1,41702,1,2,4,1,0,2,1,72,1,4,0,0,0,17751.2933136999,3149.25847134783,15094.121567059,4771.071324,3567.8749218,2965.624935,4399.553475,10511.1449829235,6563.53613893964,12086.512073218,776.585509294737,391.07142,1490.85093491807,0,673.953830550925,35,4797,2480,466,0,0,0,0,465,0,0,294,0,350,1286,763,264,57,25,6045,0,0,0,0,0,0,1940,0,0,150,660,0,0,0,3751,0,300,140,0,1910,18500,130,0,0,0,0,0,0,0,3162.6,0,0,0,0,4546,722.430999128303,46410,55601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,102651,84192.4528977517,11282,6045,2750,24601,130,84192.4528977517,10817,37942,136966.48389688,133673.88389688,33418.47097422,34241.62097422,21048.1132244379,8,4,4,8,4,3,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,93.488301887895,0,0,0,0,0,0
20015,631164964,1,41702,1,2,2,0,0,0,1,66,3,4,0,0,0,3182.36954476191,2541.96423,5512.32942463636,716.96427,1278.50271923077,130.35714,0,1428.4969925,1482.8124675,2037.44591113586,638.749986,0,563.7946305,456.24999,195.53571,0,6785,3400,0,0,2910,0,90,2370,0,0,150,0,6780,515,290,395,1860,20,650,930,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,0,398,474,0,1940,3090,100,0,0,0,0,0,0,1950,804,1500,0,0,12500,6870,745.2508961665,17510,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,52036,20165.5730162649,25565,1580,0,7693,100,22115.5730162649,20195,17643,74102.8239124314,60698.8239124314,30349.4119562157,37051.4119562157,11057.7865081325,7,4,3,8,4,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,84.1634591085463,0,0,0,0,0,0
20021,800547899,1,41702,1,2,3,0,0,1,2,82,1,4,0,0,0,5419.84771555532,951.607122,1714.196391,1129.76188,1102.85564671331,1396.68364285714,417.142848,393.988045390916,1359.30470500443,3564.51360571239,555.84284496,0,329.612148899095,521.42856,0,180,4265,2060,404,0,0,0,0,0,0,0,610,800,100,555,1095,343,525,27,910,950,0,0,0,0,0,0,0,0,250,1800,0,1000,0,2108,198,486,380,0,1525,1240,0,0,0,0,0,0,0,1300,0,0,0,0,0,4355,524.736516964186,20000,34091,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,526,60617,18856.7851560926,10964,1860,2050,6937,0,20156.7851560926,10164,15202,46047.5216730568,46047.5216730568,15349.1738910189,15349.1738910189,6718.9283853642,2,1,1,2,1,1,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,42.6688916240335,100,0,0.197953164961776,0.0391854555183839,0,0
20023,232059481,1,41702,1,2,2,0,0,1,2,57,5,4,0,0,0,8362.93430405123,1264.62965064069,7277.47428029287,0,2402.53475467819,516.768268345279,4012.1755073,993.84283536,1360.86013459646,2001.87455941266,260.71428,0,707.337148502511,0,0,0,1125,2310,24,0,80,0,0,110,0,0,0,0,60,784,473,39,175,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,0,400,126,0,3470,710,0,0,0,0,0,0,0,0,0,0,0,0,2400,3270,468.139593813479,64300,15420,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,412,84632,29161.1457231799,5196,0,0,6609,0,29161.1457231799,5006,9879,46914.2853169934,44514.2853169934,22257.1426584967,23457.1426584967,14580.5728615899,5,3,2,5,3,2,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,62.3160208475181,0,0,0,0,0,0
20024,609050944,1,41702,1,2,5,1,1,2,1,47,1,1,1,1,2,16379.7016689377,22723.8474553201,18008.4782767606,4720.05256613626,3866.06924101901,3229.80167715799,3280.46239963486,7382.37743564816,17582.9545622586,21630.2038990266,1062.68631249359,1283.98634934645,1605.63557107034,0,0,0,4540,4590,268,1596,0,0,200,25,1700,0,0,0,800,2009,1126,1434,1220,58,950,0,0,0,26000,0,0,0,0,0,0,3250,0,0,0,4123,0,750,252,0,1080,16580,0,0,9630,0,2460,0,0,0,2154,0,0,0,5300,8389,788.546372573283,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,118412,122756.25741481,19566,950,29250,22785,12090,122756.25741481,17641,61374,222103.803787384,202559.803787384,40511.9607574767,44420.7607574767,24551.251482962,9,5,4,9,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,113.243880610214,0,0,0,0,0,0
20038,245559181,1,41702,1,2,4,0,0,1,2,66,6,4,0,0,0,16034.2881673833,6258.02013779806,19510.7780931912,846.974618988702,5149.7588157,3284.999928,4334.374905,10298.7600351028,7669.95968885016,11620.9467933028,1088.50261063448,629.110183822672,1544.67695693517,442.884607448505,3055.25736516419,380,11620,4900,656,1367,1900,0,200,400,0,0,40,0,0,1157,1091,255,690,326,310,0,0,0,0,0,0,0,0,0,500,480,0,0,0,2636,0,500,231,0,2540,1950,0,0,0,0,6400,0,2450,0,0,0,0,0,13000,12497,7647.82579016453,68000,23410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,91822,91769.292907322,24982,310,980,7857,8850,91769.292907322,22482,21644,165393.118697487,143543.118697487,35885.7796743716,41348.2796743716,22942.3232268305,8,4,4,9,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,100.421816970665,0,0,0,0,0,0
20045,701346898,1,41702,1,2,4,2,0,2,1,40,3,1,1,1,2,12808.71876688,10276.4263592069,30163.4015595611,529.359136867939,5710.62277201902,4562.4999,3177.4552875,12399.422003183,13245.2165464286,14233.9313531785,1139.31370529318,1761.50851470348,5957.58884698686,3994.51521857143,0,150,14835,7680,1505,0,7292,28000,650,2320,0,25000,1760,0,5378,1914,1650,270,1350,0,177,0,0,0,0,0,0,750,0,0,500,620,0,0,0,5300,0,0,0,0,5830,9340,500,0,0,0,0,0,0,1365,11259.2,0,0,100000,7000,13964,7154.98249700446,187272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,187684,119959.97997038,99754,177,1870,20470,500,121324.97997038,36492,36481,220212.162467384,201452.962467384,50363.2406168461,55053.0406168461,30331.244992595,10,5,4,10,5,4,1,53.2,32.44,0.968068801775221,1,1.00048289045843,0.96760155621616,140.763915736071,0,0,0,0,0,0
